toponimo_i,link,varon,mujer,totalpobl,hogares,viviendasp,viv_part_h,personasxvivienda,Area_RC,Pje_Total_BP_en_RC,Porcentaje_de_hogares_con_conexion_a_red,%conaccesoredgas,%dehogarescnib,%conaccesoredeagua,connivelsec,cestudiosuper,cal1,malacmateriales,superficie,densidad_p,palto,pmedioalto,pbajo,pmuybajo
298504,060351104,372,458,830,320,490,306,2.71241830065359,101318.381777419,0,97.8,95,3.44,99.06,43.22,67.2881355932203,97.39,2.61,102546.96,80.98,63.4,13.4,19.93,3.27
298508,060351108,447,481,928,365,442,354,2.62146892655367,112628.012502611,0,100,90.41,11.23,99.45,39.88,68.1268882175227,97.46,2.54,113994.34,81.4,70.68,7.4,18.08,3.84
298513,060351205,423,413,836,261,282,229,3.65065502183406,507608.064944029,0,90.73,76.25,4.21,100,43.88,62.1359223300971,91.7,8.3,513762.56,16.27,53.76,7.52,30.83,7.89
298525,060351308,332,351,683,245,314,242,2.82231404958678,62083.8856194764,0,92.65,96.33,2.45,100,41.44,68.2875264270613,99.17,0.83,62839.95,108.76,72.79,5.51,19.85,1.84
298541,060351502,346,466,812,312,363,305,2.66229508196721,22891.0857634842,0,100,100,0.32,100,46,70.1873935264054,99.02,0.98,23168.92,350,69.13,10.74,18.12,2.01
298542,060351503,398,463,861,340,367,337,2.55489614243323,24361.1235289574,0,99.71,100,0.29,82.94,47.26,70.4225352112676,99.41,0.59,24656.91,348.58,68.21,7.95,20.86,2.98
298545,060351506,702,758,1460,480,472,419,3.48448687350835,210606.919090908,2.06,81.76,79.38,7.5,100,50.54,63.1182795698925,90.93,9.07,213166.86,68.48,41.93,7.4,39.01,11.66
298550,060351512,292,348,640,239,275,229,2.79475982532751,71949.2440871,0,83.26,90.38,2.51,98.74,48.99,67.337807606264,96.07,3.93,72826.31,87.91,58.14,7.44,28.37,6.05
298553,060351603,382,489,871,288,322,279,3.12186379928315,94718.2997069359,0,17.01,87.5,2.08,100,50.26,64.1996557659208,96.77,3.23,95872.64,90.82,51.15,11.83,33.97,3.05
298560,060351611,353,368,721,245,253,224,3.21875,73757.6270650625,0,4.92,91.43,0.82,100,58.02,68.3168316831683,93.75,6.25,74655.31,96.52,49.44,12.92,33.71,3.93
